Brand,rating,price
Adidas,3.9,649.00
Adidas,3.6,4139.00
Adidas,3.8,10799.00
Adidas,4.1,2300.00
Adidas,4,4399.00
Puma,3.8,2659.00
Puma,4.2,2109.00
Puma,3.8,2019.00
Puma,4,1649.00
Puma,4,1609.00
Puma,4.3,2309.00
Puma,3.9,1799.00
Puma,4,1799.00
Puma,4.1,1659.00
Puma,4.2,2199.00
Puma,4,1483.00
Puma,4,1599.00
Puma,3.9,2019.00
Puma,4.1,2699.00
Puma,4.1,1799.00
Puma,3.8,1219.00
Puma,3.7,2279.00
Puma,4,1620.00
Puma,4.1,1999.00
Puma,3.4,1439.00
Puma,4.2,3499.00
Puma,3.9,2099.00
Puma,4,1552.00
Puma,3.9,1479.00
Puma,3.8,2699.00
Puma,4,2399.00
Puma,4,2019.00
Puma,3.9,2219.00
Puma,3.8,4049.00
Puma,4.1,3149.00
Puma,4.1,3199.00
Puma,3.8,1569.00
Puma,4,1799.00
Puma,3.8,1479.00
Puma,4.4,3999.00
Puma,4.1,2639.00
Puma,4.2,2032.00
Puma,4.3,2749.00
Puma,4,2299.00
Puma,3.9,2559.00
Puma,4,1809.00
Puma,4,3199.00
Puma,3.9,1649.00
Puma,4.5,2649.00
Puma,4.6,2429.00
Puma,4.2,2959.00
Puma,4.1,2249.00
Puma,4.2,2799.00
Puma,4.1,2399.00
Puma,4.1,1749.00
Puma,4,2029.00
Puma,3.9,2999.00
Puma,4.2,2309.00
Puma,4.2,2099.00
Puma,4,1599.00
Puma,3.9,2099.00
Puma,4,2399.00
Puma,4.1,1999.00
Puma,4.8,5999.00
Puma,4,858.00
Puma,3.7,2249.00
Puma,3.8,2249.00
Puma,4,1799.00
Puma,4.1,1759.00
Puma,4,3709.00
Puma,4.6,2939.00
Puma,4,1609.00
Puma,4,4319.00
Puma,3.7,3299.00
Puma,4.5,3289.00
Puma,4.7,2249.00
Puma,4.2,2789.00
Puma,3.8,1919.00
Puma,4.4,2749.00
Puma,3.2,2749.00
Puma,4.4,3499.00
Puma,4.3,2499.00
Puma,3.8,2499.00
Puma,4.2,2309.00
Puma,4,1559.00
Puma,3.7,1569.00
Puma,5,4499.00
Puma,4.3,2249.00
Puma,3.6,2299.00
Puma,3.7,1479.00
Puma,4.1,1399.00
Puma,4,1649.00
Puma,3.9,2019.00
Puma,4.1,3176.00
Puma,3.8,2969.00
Puma,4,1765.00
Puma,3.7,1709.00
Puma,4,1469.00
Puma,4.2,2449.00
Puma,4.4,2019.00
Puma,3.9,1709.00
Puma,4.4,2199.00
Puma,3.8,1649.00
Puma,3.6,2309.00
Puma,4.3,1499.00
Puma,3.8,3299.00
Puma,4,2509.00
Puma,4.3,2399.00
Puma,4.2,2799.00
Puma,4.2,1799.00
Puma,4,1569.00
Puma,3.9,2499.00
Puma,3,2099.00
Puma,4,2799.00
Puma,3.7,1799.00
Puma,3.7,4019.00
Puma,3.8,1399.00
Puma,4.2,2919.00
Puma,4.1,2666.00
Puma,4.5,2799.00
Puma,4,3599.00
Puma,3.9,0.00
Puma,4.1,2469.00
Puma,5,3849.00
Puma,4,2659.00
Puma,4.1,3149.00
Puma,3.5,4999.00
Puma,3,4499.00
Puma,4.3,3419.00
Puma,4.3,0.00
Puma,3.8,759.00
Puma,4,2567.00
Puma,5,2799.00
Puma,4.1,1799.00
Puma,4.4,4899.00
Puma,4.3,2269.00
Puma,4.2,3999.00
